id,title,view,likes,dislikes,rating,guestid
EnFAfg4gQDQ,Joe Rogan Experience #1358 - Sober October 3,2635241,32725,2603,4.7052765,87
x5hNJ0GR_Wk,Joe Rogan Experience #1357 - Ari Shaffir,1437834,16800,1864,4.6005144,39
8OW6fYFCxAg,Joe Rogan Experience #1356 - Sturgill Simpson & His Band,1038573,12696,756,4.7752008,25
EWU5mt0DFDc,Joe Rogan Experience #1355 - Mark Normand,2081470,23269,2445,4.6196623,-1
izjGX8XJZ4g,Joe Rogan Experience #1354 - The Black Keys,2410330,32233,1493,4.822926,-1
nHrXYiM72Co,JRE MMA Show #79 with Vinny Shoreman & Liam Harrison,657246,5901,418,4.7354012,14
KDLeJ5Rasuo,Joe Rogan Experience #1353 - Rob Zombie,5109113,75805,2760,4.8594794,257
TP5W2MG8Jjs,Joe Rogan Experience #1352 - Sean Carroll,2183819,29814,1450,4.8144832,125
4LIsLD3j0oQ,Joe Rogan Experience #1351 - Dan Aykroyd,5928592,69255,5101,4.7255902,-1
5c4cv7rVlE8,Joe Rogan Experience #1350 - Nick Bostrom,1947133,19828,2097,4.6174231,15
ZGLL77wYxe8,Joe Rogan Experience #1349 - David Sinclair,1967086,24145,1341,4.7895317,4
--SCDa1zsYI,Joe Rogan Experience #1348 - Bill Burr,5112028,71278,2630,4.8576608,-1
Vmq87QcvSno,"Joe Rogan Experience - Fight Companion - September 7, 2019",1697914,16413,1120,4.744482,-1
0pmviUS1Zac,Joe Rogan Experience #1347 - Neil deGrasse Tyson,7414373,103025,15362,4.4809566,236
ffwbNfjNRTw,Joe Rogan Experience #1346 - Zuby,886392,13599,923,4.7457652,-1
OfEUrEUS9Qk,Joe Rogan Experience #1345 - Steve Aoki,1391005,15329,1572,4.6279511,104
Tnr4EyTegcs,Joe Rogan Experience #1344 - Joseph LeDoux,1572666,17167,1426,4.6932178,122
hi7dtuTk16s,JRE MMA Show #78 with Andre Ward,901113,12872,694,4.7953706,93
1OnBVqeW5JA,Joe Rogan Experience #1343 - Penn Jillette,3539412,46611,3779,4.7000198,-1
